,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider County Name,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Number of Penalties,Avg Hospital Stay,Treatment cost (in thousands $),Hospital readmission rates(in %),Patient wait time (mins),Patient satisfaction rate(out of 10),Patient safety(out of 10),ER wait time,Primary Care Provider(PCP)
15,366263,GRACE BRETHREN VILLAGE,1010 TAYWOOD ROAD,ENGLEWOOD,OH,45322,9378364011,Montgomery,45,33,Medicare and Medicaid,4,3,4,4,4.47686,0.02532,30.667,0,0,0,0,6,8,24,12,9,7,2,PD
16,676016,LEONARD MANOR NURSING AND REHABILITATION LP,902 E HACKBERRY ST,LEONARD,TX,75452,9035872282,Fannin,79,21.3,Medicare and Medicaid,2,2,2,3,3.97581,0.04244,105.333,2,1,2,2,4,7,23,45,8,9,5,FP
17,366010,THE PINNACLE REHABILITATION AND NURSING CENTER,330 SOUTHWEST AVE,TALLMADGE,OH,44278,3306330555,Summit,75,67.6,Medicare and Medicaid,3,3,4,2,3.24868,0.02602,28.667,0,1,0,0,3,2,32,65,6,3,3,FP
18,525608,RIDGEWOOD CARE CTR,3205 WOOD RD,RACINE,WI,53406,2625546440,Racine,200,149.6,Medicare and Medicaid,3,2,3,4,3.79122,0,80.667,3,4,0,0,5,34,34,32,8,5,4,GP
19,395726,HARMON HOUSE CARE CENTER,601 SOUTH CHURCH STREET,MOUNT PLEASANT,PA,15666,7245471890,Westmoreland,109,98.6,Medicare and Medicaid,1,1,2,2,,0.04538,100.667,0,8,0,0,9,26,12,6,8,5,2,FP
20,415078,RESPIRATORY AND REHABILITATION CENTER OF RI,10 WOODLAND DRIVE,COVENTRY,RI,2816,4018262000,Kent,210,177.3,Medicare and Medicaid,5,3,5,4,3.91249,0.07187,10.667,3,2,1,1,8,12,54,12,9,6,4,PD
21,345089,WALNUT COVE HEALTH AND REHABILITATION CENTER,511 WINDMILL STREET,WALNUT COVE,NC,27052,3365914353,Stokes,90,78.3,Medicare and Medicaid,2,2,2,2,3.10367,0.07364,63,0,5,1,1,6,24,22,3,7,4,2,No
22,335821,ST CATHERINE OF SIENA NRSG AND REHAB CARE CENTER,52 ROUTE 25A,SMITHTOWN,NY,11787,6318623900,Suffolk,240,220.1,Medicare and Medicaid,5,4,5,4,4.1293,0.30953,10.667,1,0,0,0,5,5,54,42,5,,5,FP
23,415096,BETHANY HOME OF RHODE ISLAND,111 SOUTH ANGELL STREET,PROVIDENCE,RI,2906,4018312870,Providence,33,33.9,Medicare and Medicaid,5,5,5,4,3.91309,0.06118,0.667,0,0,0,0,3,31,54,23,6,,3,No
24,365746,BRENTWOOD HEALTH CARE CENTER,907 AURORA RD,SAGAMORE HILLS,OH,44067,3304682273,Summit,99,85.1,Medicare and Medicaid,2,2,3,2,3.76167,0.05087,64.667,0,3,1,2,15,16,22,32,4,9,4,PD
25,315469,CONTINUING CARE AT SEABROOK,3002 ESSEX ROAD,TINTON FALLS,NJ,7753,7326432000,Monmouth,86,64.4,Medicare and Medicaid,3,2,4,5,4.78702,0.12752,20,0,0,1,1,7,18,35,33,8,,26,FP
26,676105,THE PLAZA AT LUBBOCK,4910 EMORY,LUBBOCK,TX,79416,8067400800,Lubbock,102,104,Medicare and Medicaid,1,2,3,1,,0.04791,96,1,1,1,1,12,6,32,36,9,5,12,PD
27,445146,GRACE HEALTHCARE OF FRANKLIN,1287 WEST MAIN,FRANKLIN,TN,37064,6157948417,Williamson,88,58.3,Medicare and Medicaid,1,1,4,2,3.08271,0.01803,50,0,2,1,1,10,31,42,35,7,1,42,FP
28,435072,SEVEN SISTERS LIVING CENTER,1201 HWY 71 SOUTH,HOT SPRINGS,SD,57747,6057453460,Fall River,51,53.4,Medicare and Medicaid,5,3,5,4,3.96272,0,,0,0,0,0,14,24,36,55,5,,10,FP
29,395851,REHAB & NURSING CTR GREATER PITTSBURGH,890 WEATHERWOOD LANE,GREENSBURG,PA,15601,7248378076,Westmoreland,120,89.3,Medicare and Medicaid,1,1,3,3,3.87722,0.11484,162.667,0,17,0,0,7,16,21,15,6,4,33,No
30,345465,BAYVIEW NURSING & REHAB CENTER,3003 KENSINGTON PARK DRIVE,NEW BERN,NC,28560,2526381818,Craven,60,55.5,Medicare and Medicaid,5,5,2,3,3.99088,,5.333,0,3,0,0,6,10,25,25,6,7,25,GER
31,495354,GREENSPRING VILLAGE,7470 SPRING VILLAGE DR,SPRINGFIELD,VA,22150,7039234663,Fairfax,136,80.7,Medicare and Medicaid,4,3,4,5,5.13746,0.14329,51.333,0,5,1,1,5,4,22,25,5,1,47,FP
32,335613,THE BAPTIST HOME AT BROOKMEADE,46 BROOKMEADE DRIVE,RHINEBECK,NY,12572,8458762071,Dutchess,120,116.1,Medicare and Medicaid,5,4,5,3,3.53755,0.07018,13.333,0,0,0,0,8,13,24,15,9,8,98,PD
33,345260,ROCKY MOUNT REHABILITATION CENTER,160 S WINSTEAD AVENUE,ROCKY MOUNT,NC,27804,2524437666,Nash,117,107.6,Medicare and Medicaid,1,2,4,1,3.35245,0.13313,42.167,0,8,2,2,6,32,23,25,8,3,10,GP
34,365163,NORTHCREST REHAB AND NURSING CENTER,240 NORTHCREST DRIVE,NAPOLEON,OH,43545,4195994070,Henry,94,83.7,Medicare and Medicaid,3,3,3,2,3.22847,0.02008,,1,0,0,0,4,42,34,45,6,8,71,FP
35,675150,BLUEBONNET REHAB AT ENNIS,2300 SOUTH OAK GROVE RD,ENNIS,TX,75119,9728758643,Ellis,136,86.9,Medicare and Medicaid,2,3,3,1,2.78701,0.01689,49.333,0,3,0,0,9,36,26,75,5,1,18,PD
36,495403,LAKEWOOD MANOR,1900 LAUDERDALE DRIVE,RICHMOND,VA,23238,8047402900,Goochland,96,86.9,Medicare,5,4,5,4,4.77667,,23.333,0,2,0,0,8,21,12,25,9,8,37,PD
37,15075,SUMMERFORD NURSING HOME INC,4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,AL,35622,2567845275,Morgan,216,204.9,Medicare and Medicaid,4,4,4,3,3.6652,0.03654,14.667,0,0,0,0,9,25,42,30,8,,4,FP
38,395826,MANORCARE HEALTH SERVICES-NORTH HILLS,1105 PERRY HIGHWAY,PITTSBURGH,PA,15237,4123699955,Allegheny,200,178.9,Medicare and Medicaid,4,3,3,4,3.2989,0.12755,44.667,1,1,1,1,7,22,36,15,7,8,5,No
39,676173,KENEDY HEALTH & REHABILITATION,7882 S HWY 181 (NO MAIL SERVICE),KENEDY,TX,78119,8305839101,Karnes,60,48.3,Medicare and Medicaid,3,4,2,1,3.28615,,24,1,3,0,0,12,23,25,76,8,8,4,PD
40,495280,WESTMINSTER AT LAKE RIDGE,12185 CLIPPER DRIVE,LAKE RIDGE,VA,22192,7036439017,Prince William,60,41.4,Medicare and Medicaid,3,2,4,5,5.21632,0.074,86.333,0,0,1,1,10,5,22,25,9,4,5,FP
41,555306,KEI-AI SOUTH BAY HEALTHCARE CENTER,15115 S VERMONT AVE,GARDENA,CA,90247,3105320700,Los Angeles,98,93.2,Medicare and Medicaid,3,2,5,3,4.12808,0.11377,107.333,3,7,2,2,14,3,24,95,9,2,5,PD
42,315234,ARBOR RIDGE REHABILITATION AND HEALTHCARE CENTER,261 TERHUNE DRIVE,WAYNE,NJ,7470,9738353871,Passaic,120,92.8,Medicare and Medicaid,4,3,5,3,2.91491,0.06326,13.333,0,0,0,0,7,9,23,75,9,1,2,FP
43,395740,BRANDYWINE HALL,800 WEST MINER STREET,WEST CHESTER,PA,19382,6106963120,Chester,180,160.7,Medicare and Medicaid,1,2,1,3,3.32802,,85.333,4,2,1,1,6,4,74,15,9,3,3,PD
44,555337,MANORCARE HEALTH SERVICES (CITRUS HEIGHTS),7807 UPLANDS WAY,CITRUS HEIGHTS,CA,95610,9169672929,Sacramento,162,145.7,Medicare and Medicaid,4,3,4,5,4.26041,0.20242,72,1,15,0,0,8,4,33,95,8,,5,No
45,505257,ALDERWOOD MANOR,3600 EAST HARTSON AVENUE,SPOKANE,WA,99202,5095352071,Spokane,85,63.4,Medicare and Medicaid,4,2,5,4,3.82236,0.12291,218.667,7,12,3,3,6,3,25,95,7,,4,No
46,675471,BONHAM NURSING AND REHABILITATION LP,709 W FIFTH ST,BONHAM,TX,75418,9035838551,Fannin,65,36.7,Medicare and Medicaid,4,4,4,2,2.73937,0.04948,30,5,0,1,1,4,8,47,75,9,7,5,FP
47,365981,GEM CITY NURSING & REHABILITATION CENTER,323 FOREST AVENUE,DAYTON,OH,45405,9372240793,Montgomery,87,59.6,Medicare and Medicaid,3,3,3,2,3.0491,0.0319,38,0,2,0,0,9,4,98,45,8,,2,FP
48,396109,HEINZ TRANSITIONAL REHABILITATION UNIT,150 MUNDY STREET,WILKES-BARRE,PA,18702,5708308995,Luzerne,45,37.2,Medicare,5,4,5,4,4.99966,0.36239,23.333,0,0,0,0,8,6,10,16,7,,3,GP
49,525715,DOVE HEALTHCARE - RICE LAKE,910 BEAR PAW AVE,RICE LAKE,WI,54868,7152342604,Barron,50,42,Medicare and Medicaid,5,5,5,5,,0.04094,6.667,0,0,0,0,9,4,71,55,9,1,2,FP
50,335187,HUDSON POINTE AT RIVERDALE CTR FOR NURSING & REHAB,3220 HENRY HUDSON PARKWAY,BRONX,NY,10463,7185499400,Bronx,167,152.4,Medicare and Medicaid,3,4,4,1,3.08448,0.08256,8,0,0,0,0,7,8,18,15,8,7,4,PD
51,525377,DOOR COUNTY MEMORIAL HOSPITAL SNF,323 S 18TH AVE,STURGEON BAY,WI,54235,9207435566,Door,30,27.4,Medicare and Medicaid,5,5,5,5,4.76227,0.00844,4,0,0,0,0,3,6,37,55,4,,2,No
52,335787,NASSAU REHABILITATION & NURSING CENTER,ONE GREENWICH STREET,HEMPSTEAD,NY,11550,5165654800,Nassau,280,267.9,Medicare and Medicaid,2,2,5,1,3.44018,0.05552,26,0,3,1,1,12,2,78,15,5,7,5,FP
53,675976,WINFIELD REHAB & NURSING,1108 E LOOP 304,CROCKETT,TX,75835,9365440150,Houston,83,65.9,Medicare and Medicaid,3,2,5,2,3.43489,0.24561,81,1,2,1,1,3,9,97,75,9,2,3,GIM
54,295021,"PREMIER HEALTH & REHABILITATION CENTER OF LV, LP",2945 CASA VEGAS STREET,LAS VEGAS,NV,89169,7027357179,Clark,100,90.8,Medicare and Medicaid,2,2,3,2,3.56884,0.06194,72,0,7,0,0,5,3,2,85,8,,4,PD
55,465049,SPRING CREEK HEALTHCARE CENTER,4600 SOUTH HIGHLAND DRIVE,SALT LAKE CITY,UT,84117,8012721892,Salt Lake,100,64.4,Medicare and Medicaid,3,3,4,3,3.01248,0.02411,48,0,3,0,0,3,4,32,85,7,4,36,FP
56,366170,THE SANCTUARY AT TUTTLE CROSSING,4880 TUTTLE ROAD,DUBLIN,OH,43017,6147608870,Franklin,66,57.7,Medicare and Medicaid,3,3,4,3,4.33072,0.06892,39.667,0,1,0,0,4,8,42,46,5,,21,PD
57,335656,HAYM SOLOMON HOME FOR THE AGED,2340 CROPSEY AVENUE,BROOKLYN,NY,11214,7183731700,Kings,240,232.5,Medicare and Medicaid,3,2,5,2,4.14204,,39.333,0,0,1,1,9,27,36,15,6,,25,FP
58,455412,BROOKHAVEN NURSING AND REHABILITATION CENTER,1855 CHEYENNE,CARROLLTON,TX,75010,9723947141,Denton,180,121.2,Medicare and Medicaid,3,3,5,1,3.19178,0.04705,46.667,1,2,0,0,8,31,21,75,9,3,22,FP
59,555822,CANYON OAKS NURSING AND REHABILITATION CENTER,22029 SATICOY STREET,CANOGA PARK,CA,91303,8188877050,Los Angeles,185,147.9,Medicare and Medicaid,4,2,5,4,4.75303,0.21259,78,0,21,1,1,5,2,25,95,8,,24,No
60,15124,CLAY COUNTY NURSING HOME,83825 HIGHWAY 9   P O BOX 1270,ASHLAND,AL,36251,2563542131,Clay,83,73.1,Medicare and Medicaid,5,3,5,4,3.55848,0.0019,,0,0,0,0,7,10,24,31,9,,32,No
61,366348,VENETIAN GARDENS,1650 STATE ROUTE 28,LOVELAND,OH,45140,5137220700,Clermont,99,94.3,Medicare and Medicaid,4,4,5,1,3.36609,0.03609,19.333,1,1,0,0,1,15,23,46,8,,23,FP
62,345392,WADESBORO HEALTH & REHAB CENTER,2051 COUNTRY CLUB ROAD,WADESBORO,NC,28170,7046944106,Anson,66,59.2,Medicare and Medicaid,3,3,3,2,3.10775,0.08589,34.667,0,2,0,0,2,5,34,25,9,7,3,FP
63,335421,TARRYTOWN HALL CARE CENTER,20 WOOD COURT,TARRYTOWN,NY,10591,9146312600,Westchester,120,98.1,Medicare and Medicaid,4,4,3,3,3.81398,0.11738,10.667,3,1,0,0,6,3,26,15,8,,23,GER
64,335396,MONTGOMERY NURSING AND REHABILITATION CENTER,2817 ALBANY POST ROAD,MONTGOMERY,NY,12549,8454573155,Orange,100,94.7,Medicare and Medicaid,4,3,5,3,,0.09035,21.333,0,0,0,0,8,42,12,15,9,9,24,PD
65,365532,GREENVILLE HEALTHCARE,243 MARION DRIVE,GREENVILLE,OH,45331,9375483141,Darke,92,71.8,Medicare and Medicaid,4,4,4,2,2.93015,0.00278,28,0,3,0,0,5,36,24,45,9,,45,PD
66,365555,O'BRIEN MEMORIAL HEALTH CARE C,563 BROOKFIELD AVE SE,MASURY,OH,44438,3304482557,Trumbull,99,80.5,Medicare and Medicaid,5,5,2,2,3.47727,0.03712,0,0,0,0,0,9,21,23,45,9,1,4,No
67,445167,LIFE CARE CENTER OF CROSSVILLE,80 JUSTICE ST,CROSSVILLE,TN,38555,9314844782,Cumberland,122,95.2,Medicare and Medicaid,1,2,3,1,3.47587,0.05198,37.333,2,0,0,0,7,25,34,35,9,5,5,FP
68,375194,SHAWN MANOR NURSING HOME,2024 TURNER ROAD,PONCA CITY,OK,74604,5807653364,Kay,96,40.2,Medicare and Medicaid,1,2,1,2,3.14735,0.00089,75.333,0,4,0,0,7,22,26,75,9,,2,PD
69,396119,MT HOPE NAZARENE RETIREMENT COMMUNITY,3026 MOUNT HOPE HOME ROAD,MANHEIM,PA,17545,7176656365,Lancaster,50,48.3,Medicare and Medicaid,5,5,5,3,4.03735,0.022,4,0,1,0,0,3,24,12,16,5,1,4,PD
70,435075,GOOD SAMARITAN SOCIETY HOWARD,300 WEST HAZEL AVENUE,HOWARD,SD,57349,6057724481,Miner,47,41.6,Medicare and Medicaid,3,2,3,4,3.3846,0.0185,29.333,0,0,0,0,12,23,42,55,7,,5,FP
71,385149,HIGHLAND HOUSE,2201 NW HIGHLAND AVENUE,GRANTS PASS,OR,97526,5414741901,Josephine,119,110.4,Medicare and Medicaid,2,2,3,3,4.10974,0.07746,82,2,13,1,1,5,5,36,95,4,7,5,PD
72,315396,CUMBERLAND MANOR NURSING AND REHABILITATION CENTER,154 SUNNY SLOPE DRIVE,BRIDGETON,NJ,8302,8564558000,Cumberland,196,153.1,Medicare and Medicaid,4,3,5,2,2.35885,0.03809,14,0,3,0,0,6,3,21,85,9,,2,FP
73,395915,KINKORA PYTHIAN HOME,25 COVE ROAD,DUNCANNON,PA,17020,7178344887,Perry,60,52.6,Medicare and Medicaid,3,3,4,3,3.47254,0.15167,39.333,0,3,0,1,7,9,25,15,9,7,3,FP
74,525270,CROSSROADS CARE CENTER OF FOND DU LAC,115 E ARNDT ST,FOND DU LAC,WI,54935,9209237040,Fond Du Lac,50,48.2,Medicare and Medicaid,2,2,4,2,3.2491,0.03113,45.333,0,5,0,0,1,4,22,55,7,6,5,No
75,435093,SUN DIAL MANOR,410 SECOND STREET POST OFFICE BOX 337,BRISTOL,SD,57219,6054923615,Day,37,32.8,Medicare and Medicaid,5,3,5,5,,0.01976,28,0,0,0,0,6,6,24,55,9,,5,No
76,275047,LIVINGSTON HEALTH & REHABILITATION CENTER,510 S 14TH ST,LIVINGSTON,MT,59047,4062220672,Park,115,49.4,Medicare and Medicaid,3,3,4,3,3.0191,0.12778,52.667,0,0,1,1,8,3,32,55,4,6,5,FP
77,365589,HICKORY CREEK OF ATHENS,51 EAST 4TH STREET,THE PLAINS,OH,45780,7407974561,Athens,114,90.9,Medicare and Medicaid,4,4,3,2,3.41437,,21.333,0,1,0,0,6,8,23,45,8,1,2,FP
78,4.40E+233,BLEDSOE COUNTY NURSING HOME,107 WHEELERTOWN AVENUE,PIKEVILLE,TN,37367,4234476811,Bledsoe,50,40.1,Medicaid,3,2,5,2,2.75545,0,29.333,2,2,0,0,8,4,24,34,6,5,4,GP
79,505325,BAINBRIDGE ISLAND HEALTH & REHAB CENTER,835 MADISON AVENUE NORTH,BAINBRIDGE ISLAND,WA,98110,2068424765,Kitsap,69,54.2,Medicare and Medicaid,5,3,5,4,3.44294,,94.667,1,9,1,1,9,8,45,95,8,3,2,FP
80,365284,CRESTWOOD CARE CENTER,225 W MAIN STREET,SHELBY,OH,44875,4193471266,Richland,130,120.5,Medicare and Medicaid,3,2,5,2,3.31335,0.02322,78.667,1,8,0,0,7,13,23,45,8,7,5,PD
81,335767,OUR LADY OF MERCY LIFE CENTER,2 MERCYCARE LANE,GUILDERLAND,NY,12084,5184648100,Albany,160,152.4,Medicare and Medicaid,4,3,5,3,4.28471,0.13458,16,0,0,0,0,3,14,33,15,6,7,3,No
82,455618,EDEN HOME INC,631 LAKEVIEW BLVD,NEW BRAUNFELS,TX,78130,8306256291,Comal,112,133.6,Medicare and Medicaid,1,1,2,3,4.4347,0.0747,304.333,4,7,1,1,12,5,34,75,6,8,4,PD
83,355095,GOOD SAMARITAN SOCIETY - OAKES,213 N 9TH ST,OAKES,ND,58474,7017423274,Dickey,59,54.3,Medicare and Medicaid,3,2,4,4,3.67239,0.00395,36.667,0,1,0,0,3,26,43,55,9,7,23,PD
84,465143,CEDAR HEALTH AND REHABILITATION,411 WEST 1325 NORTH,CEDAR CITY,UT,84721,4355866481,Iron,120,68.1,Medicare and Medicaid,4,3,5,3,3.57593,0.14325,56.667,0,1,0,1,5,35,34,85,4,,34,PD
85,555583,MACLAY HEALTHCARE CENTER,12831 MACLAY STREET,SYLMAR,CA,91342,8183614455,Los Angeles,141,123,Medicare and Medicaid,1,1,4,3,4.39035,0.06456,130.333,3,31,0,1,3,13,35,95,8,1,26,FP
86,676332,THE MEDICAL RESORT AT BAY AREA,4900 EAST SAM HOUSTON PARKWAY SOUTH,PASADENA,TX,77505,2819980399,Harris,101,70.7,Medicare and Medicaid,2,3,2,1,3.97666,0.10549,56,2,2,1,2,4,39,16,76,3,7,12,PD
87,525343,EVERGREEN HEALTH SERVICES,1250 EVERGREEN ST,SHAWANO,WI,54166,7155263107,Shawano,50,39.4,Medicare and Medicaid,3,3,4,3,3.21746,0.02303,26,0,2,0,0,9,32,35,55,4,9,24,FP
88,345159,LINCOLNTON REHABILITATION CENTER,1410 EAST GASTON STREET,LINCOLNTON,NC,28092,7047321138,Lincoln,120,94.8,Medicare and Medicaid,4,3,5,2,3.27135,0.15115,22.667,0,14,0,0,8,32,23,25,5,8,23,PD
89,555020,LAGUNA HONDA HOSPITAL & REHABILITATION CTR D/P SNF,375 LAGUNA HONDA BLVD.,SAN FRANCISCO,CA,94116,4157592300,San Francisco,769,751,Medicare and Medicaid,2,1,3,5,4.91992,0.04639,643.333,57,3,2,4,5,19,55,95,7,8,34,No
90,366211,SARAH JANE LIVING CENTER,328 WEST SECOND STREET,DELPHOS,OH,45833,4196926618,Allen,28,21.2,Medicare and Medicaid,5,5,5,4,4.2542,0,1.333,0,0,0,0,6,3,43,46,5,,26,No
91,365071,BEACHWOOD POINTE CARE CENTER,23900 CHAGRIN BLVD,BEACHWOOD,OH,44122,2164641000,Cuyahoga,120,96.1,Medicare and Medicaid,2,3,2,1,3.53266,0.01369,31.833,0,8,2,2,7,35,13,45,7,4,12,FP
92,495140,ROSE HILL HEALTH AND REHAB,110 CHALMERS COURT,BERRYVILLE,VA,22611,5409559995,Clarke,120,115.1,Medicare and Medicaid,1,1,3,1,2.21427,0,155.333,0,22,0,0,1,1,14,25,4,,42,FP
93,425095,PEACHTREE CENTRE,1434 N LIMESTONE ST,GAFFNEY,SC,29340,8644872717,Cherokee,111,100.2,Medicare and Medicaid,2,2,3,2,3.86594,0.0216,48.667,7,1,0,0,2,28,24,25,9,,36,GP
94,495236,ENVOY AT THE MEADOWS,2715 DOGTOWN ROAD,GOOCHLAND,VA,23063,8045564418,Goochland,84,77.3,Medicare and Medicaid,1,1,1,2,2.91756,0.06535,125.333,0,2,0,0,6,19,24,25,3,4,21,FP
95,675462,PARKVIEW NURSING AND REHABILITATION CENTER,3200 PARKWAY,BIG SPRING,TX,79720,4322634041,Howard,117,88.9,Medicare and Medicaid,4,5,4,1,3.59893,0.00518,14.667,0,0,0,0,8,55,16,75,6,6,25,PD
96,395435,WESTMORELAND MANOR,2480 SOUTH GRAND BLVD,GREENSBURG,PA,15601,7248304010,Westmoreland,408,383.5,Medicare and Medicaid,1,1,3,3,3.56665,0.01886,129.333,2,13,1,1,5,15,32,15,3,3,22,No
97,676193,THE WATERTON HEALTHCARE & REHABILITATION,2875 SHILOH ROAD,TYLER,TX,75703,9035611300,Smith,54,61.3,Medicare and Medicaid,1,1,4,2,3.59808,0.02932,190.5,1,6,2,2,9,15,42,76,9,9,24,PD
98,396067,CONCORDIA AT REBECCA RESIDENCE,3746 CEDAR RIDGE ROAD,ALLISON PARK,PA,15101,7244440600,Allegheny,60,55.4,Medicare,4,4,3,3,4.01767,0.17747,26.667,0,6,0,0,7,40,36,16,6,,23,PD
99,385244,NEHALEM VALLEY CARE CENTER,280 ROWE STREET,WHEELER,OR,97147,5033685171,Tillamook,50,26.4,Medicare and Medicaid,4,3,4,5,4.33186,0.03551,48,0,0,0,0,3,33,25,95,4,6,23,No
100,355051,HATTON PRAIRIE VILLAGE,950 DAKOTA AVE,HATTON,ND,58240,7015433102,Traill,42,36.1,Medicare and Medicaid,5,5,4,4,,0.00493,,0,0,0,0,6,57,22,55,5,2,3,FP
101,365482,ALTERCARE OF NAVARRE CTR FOR REHAB & NRSG CARE,517 PARK STREET NW,NAVARRE,OH,44662,3308792765,Stark,117,105.8,Medicare and Medicaid,5,4,5,3,3.17317,0.0275,25.333,0,4,0,1,5,41,24,45,8,4,4,FP
102,555613,THE GROVE CARE AND WELLNESS,3401 LEMON STREET,RIVERSIDE,CA,92501,9516868202,Riverside,38,39.7,Medicare and Medicaid,3,3,5,1,3.67848,0.17587,,3,6,0,0,8,36,23,95,8,3,5,GP
103,395802,THORNWALD HOME,442 WALNUT BOTTOM ROAD,CARLISLE,PA,17013,7172494118,Cumberland,83,79.5,Medicare and Medicaid,5,4,5,3,3.99598,0.05026,14.667,0,0,0,0,6,49,34,15,8,,2,FP
104,415054,SOUTH KINGSTOWN NURSING AND REHAB CTR,"2115 SOUTH COUNTY TRAIL, PO BOX 307",WEST KINGSTON,RI,2892,4017838568,Washington,96,93.8,Medicare and Medicaid,3,3,3,3,3.1113,0.03426,13.333,6,0,1,1,4,31,26,25,5,1,4,PD
